epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52517E+12,2018-05-01T10.42.53.638,20.761,0.884,0.242,-0.23
1.52517E+12,2018-05-01T10.42.53.718,20.841,0.817,0.464,0.035
1.52517E+12,2018-05-01T10.42.53.801,20.924,0.918,0.191,0.04
1.52517E+12,2018-05-01T10.42.53.881,21.004,1.126,-0.053,-0.056
1.52517E+12,2018-05-01T10.42.53.962,21.085,0.964,0.08,-0.046
1.52517E+12,2018-05-01T10.42.54.042,21.165,0.905,0.25,0.012
1.52517E+12,2018-05-01T10.42.54.123,21.246,1.33,0.558,0.194
1.52517E+12,2018-05-01T10.42.54.203,21.326,1.048,0.252,0.373
1.52517E+12,2018-05-01T10.42.54.284,21.407,0.775,0.22,0.259
1.52517E+12,2018-05-01T10.42.54.366,21.489,0.753,0.439,0.22
1.52517E+12,2018-05-01T10.42.54.447,21.57,0.934,0.402,0.177
1.52517E+12,2018-05-01T10.42.54.527,21.65,0.903,0.384,0.194
1.52517E+12,2018-05-01T10.42.54.608,21.731,0.956,0.242,0.208
1.52517E+12,2018-05-01T10.42.54.688,21.811,0.953,0.124,0.215
1.52517E+12,2018-05-01T10.42.54.769,21.892,0.973,0.18,0.185
1.52517E+12,2018-05-01T10.42.54.849,21.972,0.98,0.208,0.165
1.52517E+12,2018-05-01T10.42.54.931,22.054,1.023,0.147,0.116
1.52517E+12,2018-05-01T10.42.55.012,22.135,1.024,0.286,0.075
1.52517E+12,2018-05-01T10.42.55.093,22.216,1.086,0.234,0.027
1.52517E+12,2018-05-01T10.42.55.173,22.296,0.951,0.001,0.039
1.52517E+12,2018-05-01T10.42.55.254,22.377,1.028,-0.034,-0.004
1.52517E+12,2018-05-01T10.42.55.334,22.457,1.017,0.035,-0.02
1.52517E+12,2018-05-01T10.42.55.416,22.539,0.97,0.102,0.013
1.52517E+12,2018-05-01T10.42.55.497,22.62,1.025,0.027,-0.003
1.52517E+12,2018-05-01T10.42.55.577,22.7,1.031,-0.045,-0.038
1.52517E+12,2018-05-01T10.42.55.658,22.781,1.004,-0.052,-0.026
1.52517E+12,2018-05-01T10.42.55.739,22.862,1.002,-0.096,-0.015
1.52517E+12,2018-05-01T10.42.55.819,22.942,1.009,-0.114,0.007
1.52517E+12,2018-05-01T10.42.55.900,23.023,1.011,-0.068,-0.014
1.52517E+12,2018-05-01T10.42.55.982,23.105,0.999,-0.073,-0.021
1.52517E+12,2018-05-01T10.42.56.062,23.185,1.037,-0.045,-0.062
1.52517E+12,2018-05-01T10.42.56.143,23.266,1.161,-0.124,-0.028
1.52517E+12,2018-05-01T10.42.56.223,23.346,1.163,-0.003,-0.051
1.52517E+12,2018-05-01T10.42.56.304,23.427,0.936,0.604,0.235
1.52517E+12,2018-05-01T10.42.56.385,23.508,0.93,0.344,0.309
1.52517E+12,2018-05-01T10.42.56.465,23.588,1,0.055,0.098
1.52517E+12,2018-05-01T10.42.56.547,23.67,0.779,0.184,0.163
1.52517E+12,2018-05-01T10.42.56.628,23.751,0.851,0.088,0.19
1.52517E+12,2018-05-01T10.42.56.708,23.831,0.939,-0.062,0.154
1.52517E+12,2018-05-01T10.42.56.789,23.912,0.93,0.038,0.28
1.52517E+12,2018-05-01T10.42.56.869,23.992,1.035,-0.04,0.288
1.52517E+12,2018-05-01T10.42.56.950,24.073,1.334,0.125,0.196
1.52517E+12,2018-05-01T10.42.57.031,24.154,1.219,0.434,-0.037
1.52517E+12,2018-05-01T10.42.57.113,24.236,0.886,0.058,-0.23
1.52517E+12,2018-05-01T10.42.57.193,24.316,0.912,0.214,0.033
1.52517E+12,2018-05-01T10.42.57.274,24.397,0.838,0.211,0.022
1.52517E+12,2018-05-01T10.42.57.354,24.477,0.992,0.06,0.073
1.52517E+12,2018-05-01T10.42.57.435,24.558,1.014,-0.033,0.027
1.52517E+12,2018-05-01T10.42.57.515,24.638,0.98,0.034,-0.003
1.52517E+12,2018-05-01T10.42.57.596,24.719,1.091,-0.021,-0.011
1.52517E+12,2018-05-01T10.42.57.678,24.801,1.353,-0.174,-0.033
1.52517E+12,2018-05-01T10.42.57.759,24.882,0.978,0.712,0.12
1.52517E+12,2018-05-01T10.42.57.839,24.962,0.909,0.224,0.271
1.52517E+12,2018-05-01T10.42.57.920,25.043,0.93,-0.013,0.103
1.52517E+12,2018-05-01T10.42.58.000,25.123,0.743,0.076,0.15
1.52517E+12,2018-05-01T10.42.58.081,25.204,0.969,0.193,0.106
1.52517E+12,2018-05-01T10.42.58.163,25.286,0.881,0.385,-0.063
1.52517E+12,2018-05-01T10.42.58.243,25.366,0.376,0.75,-0.259
1.52517E+12,2018-05-01T10.42.58.324,25.447,0.735,0.591,0.222
1.52517E+12,2018-05-01T10.42.58.405,25.528,1.27,0.216,-0.292
1.52517E+12,2018-05-01T10.42.58.485,25.608,1.041,0.744,0.167
1.52517E+12,2018-05-01T10.42.58.566,25.689,1.497,0.912,0.226
1.52517E+12,2018-05-01T10.42.58.646,25.769,2.067,0.906,0.348
1.52517E+12,2018-05-01T10.42.58.728,25.851,1.931,0.758,0.105
1.52517E+12,2018-05-01T10.42.58.809,25.932,0.212,0.692,-0.073
1.52517E+12,2018-05-01T10.42.58.889,26.012,-0.831,0.356,-0.039
1.52517E+12,2018-05-01T10.42.58.970,26.093,0.128,-0.408,0.199
1.52517E+12,2018-05-01T10.42.59.051,26.174,0.479,-0.271,-0.083
1.52517E+12,2018-05-01T10.42.59.131,26.254,-0.098,0.232,0.108
1.52517E+12,2018-05-01T10.42.59.212,26.335,2.19,0.671,0.316
1.52517E+12,2018-05-01T10.42.59.294,26.417,2.827,0.534,0.308
1.52517E+12,2018-05-01T10.42.59.374,26.497,1.446,-0.24,0.102
1.52517E+12,2018-05-01T10.42.59.455,26.578,0.588,0.417,0.215
1.52517E+12,2018-05-01T10.42.59.535,26.658,0.188,0.304,0.117
1.52517E+12,2018-05-01T10.42.59.616,26.739,0.676,0.221,0.236
1.52517E+12,2018-05-01T10.42.59.697,26.82,1.536,0.074,0.03
1.52517E+12,2018-05-01T10.42.59.777,26.9,0.675,-0.173,-0.039
1.52517E+12,2018-05-01T10.42.59.859,26.982,1.229,-0.043,0.015
1.52517E+12,2018-05-01T10.42.59.940,27.063,1.003,0.224,0.154
1.52517E+12,2018-05-01T10.43.00.020,27.143,0.852,0.042,0.015
1.52517E+12,2018-05-01T10.43.00.101,27.224,1.062,0.162,0
1.52517E+12,2018-05-01T10.43.00.181,27.304,1.217,-0.059,0.097
1.52517E+12,2018-05-01T10.43.00.262,27.385,1.354,-0.192,-0.035
1.52517E+12,2018-05-01T10.43.00.344,27.467,0.948,1.023,0.057
1.52517E+12,2018-05-01T10.43.00.425,27.548,0.841,0.498,0.241
1.52517E+12,2018-05-01T10.43.00.505,27.628,0.997,0.003,0.073
1.52517E+12,2018-05-01T10.43.00.586,27.709,0.66,0.097,0.235
1.52517E+12,2018-05-01T10.43.00.666,27.789,0.764,0.158,0.206
1.52517E+12,2018-05-01T10.43.00.747,27.87,0.938,-0.03,0.19
1.52517E+12,2018-05-01T10.43.00.827,27.95,1.213,0.052,0.29
1.52517E+12,2018-05-01T10.43.00.909,28.032,1.535,0.169,0.232
